Ammattioikeus_koodi;Ammattioikeus;Ammattioikeus SV;Ammattioikeus EN;Vuosi;Ikä;Ammattioikeuksien lkm;Ammattihenkilöiden lkm
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2014;>=65;415;415
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2014;<65;5212;5212
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2014;>=65;181;181
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2014;<65;2608;2608
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2014;>=65;6302;6302
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2014;<65;11298;11298
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2014;>=65;2487;2487
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2014;<65;131683;131683
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2014;>=65;1362;1362
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2014;<65;10345;10345
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2014;>=65;1105;1105
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2014;<65;6939;6939
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2014;>=65;78;78
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2014;<65;2527;2527
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2014;>=65;Alle 5;Alle 5
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2014;<65;281;281
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2014;>=65;228;228
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2014;<65;671;671
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2014;>=65;183;183
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2014;<65;2657;2657
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2015;>=65;5445;5445
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2015;<65;22741;22741
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2015;>=65;2054;2054
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2015;<65;5190;5190
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2015;>=65;4093;4093
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2015;<65;9585;9585
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2015;>=65;611;611
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2015;<65;2877;2877
007;laillistettu optikko;legitimerad optiker;registered optician;2015;>=65;301;301
007;laillistettu optikko;legitimerad optiker;registered optician;2015;<65;1973;1973
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2015;>=65;275;275
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2015;<65;865;865
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2015;>=65;1446;1446
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2015;<65;5957;5957
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2015;>=65;1479;1479
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2015;<65;5926;5926
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2015;>=65;208;208
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2015;<65;1535;1535
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2015;>=65;55;55
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2015;<65;3123;3123
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2015;>=65;33;33
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2015;<65;565;565
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2015;>=65;35;35
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2015;<65;141;141
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2015;>=65;Alle 5;Alle 5
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2015;<65;27;27
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2015;>=65;97;97
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2015;<65;119;119
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2015;>=65;7;7
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2015;<65;42;42
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2015;>=65;Alle 5;Alle 5
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2015;<65;18;18
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2015;>=65;6237;4566
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2015;<65;16367;13205
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2015;>=65;424;413
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2015;<65;695;691
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2015;>=65;26354;26354
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2015;<65;102073;102073
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2015;>=65;6;6
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2015;<65;276;276
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2015;>=65;6;6
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2015;<65;90;90
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2015;>=65;15;15
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2015;<65;154;154
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2015;>=65;25;25
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2015;<65;353;353
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2015;>=65;2829;2829
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2015;<65;6506;6506
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2015;>=65;2469;2469
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2015;<65;21713;21713
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2015;>=65;3627;3627
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2015;<65;4152;4152
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2015;>=65;1474;1474
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2015;<65;16956;16956
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2015;>=65;13695;13695
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2015;<65;20511;20511
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2015;>=65;2140;2140
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2015;<65;7691;7691
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2015;>=65;1292;1292
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2015;<65;4202;4202
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2015;>=65;1614;1614
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2015;<65;15761;15761
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2015;>=65;483;483
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2015;<65;5128;5128
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2015;>=65;215;215
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2015;<65;2562;2562
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2015;>=65;6633;6633
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2015;<65;10845;10845
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2015;>=65;3343;3343
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2015;<65;140845;140845
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2015;>=65;1642;1642
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2015;<65;10048;10048
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2015;>=65;1330;1330
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2015;<65;6689;6689
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2015;>=65;101;101
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2015;<65;2667;2667
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2015;>=65;Alle 5;Alle 5
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2015;<65;317;317
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2015;>=65;260;260
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2015;<65;637;637
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2015;>=65;227;227
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2015;<65;2604;2604
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2016;>=65;5830;5830
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2016;<65;23067;23067
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2016;>=65;2145;2145
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2016;<65;5262;5262
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2016;>=65;4044;4044
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2016;<65;9730;9730
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2016;>=65;630;630
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2016;<65;2919;2919
007;laillistettu optikko;legitimerad optiker;registered optician;2016;>=65;328;328
007;laillistettu optikko;legitimerad optiker;registered optician;2016;<65;1976;1976
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2016;>=65;296;296
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2016;<65;838;838
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2016;>=65;1573;1573
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2016;<65;6048;6048
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2016;>=65;1664;1664
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2016;<65;5902;5902
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2016;>=65;231;231
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2016;<65;1612;1612
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2016;>=65;72;72
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2016;<65;3291;3291
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2016;>=65;43;43
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2016;<65;578;578
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2016;>=65;37;37
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2016;<65;148;148
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2016;>=65;Alle 5;Alle 5
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2016;<65;28;28
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2016;>=65;106;106
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2016;<65;114;114
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2016;>=65;7;7
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2016;<65;45;45
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2016;>=65;7;7
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2016;<65;13;13
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2016;>=65;6641;4867
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2016;<65;16360;13276
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2016;>=65;435;424
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2016;<65;707;703
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2016;>=65;27639;27639
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2016;<65;103900;103900
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2016;>=65;7;7
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2016;<65;277;277
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2016;>=65;7;7
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2016;<65;89;89
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2016;>=65;16;16
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2016;<65;179;179
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2016;>=65;27;27
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2016;<65;368;368
250;laillistettu sosiaalityöntekijä;legitimerad socialarbetare;social worker;2016;>=65;7;7
250;laillistettu sosiaalityöntekijä;legitimerad socialarbetare;social worker;2016;<65;543;543
251;laillistettu sosionomi;legitimerad socionom;bachelor of social services;2016;>=65;Alle 5;Alle 5
251;laillistettu sosionomi;legitimerad socionom;bachelor of social services;2016;<65;989;989
252;laillistettu geronomi;legitimerad geronom;elderly care professional;2016;<65;79;79
253;nimikesuojattu lähihoitaja (sosiaalihuolto);närvårdare (socialvård) med skyddad yrkesbeteckning;practical nurse (social welfare);2016;<65;1056;1056
254;nimikesuojattu kodinhoitaja;hemvårdare med skyddad yrkesbeteckning;nurse in a home environment;2016;<65;42;42
255;nimikesuojattu kehitysvammaistenhoitaja;vårdare av utvecklingshämmade med skyddad yrkesbeteckning;nurse caring for the intellectually or developmentally disabled;2016;<65;15;15
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2016;>=65;2855;2855
300;laillistettu kätilö;legitimerad barnmorska;registered midwife;2016;<65;6566;6566
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2016;>=65;2838;2838
400;laillistettu terveydenhoitaja;legitimerad hälsovårdare;registered public health nurse;2016;<65;22039;22039
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2016;>=65;3767;3767
503;nimikesuojattu mielisairaanhoitaja;sinnessjukvårdare med skyddad yrkesbeteckning;practical psychiatric nurse with protected occupational title;2016;<65;3880;3880
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2016;>=65;1609;1609
506;nimikesuojattu koulutettu hieroja;utbildad massör med skyddad yrkesbeteckning;trained masseur with protected occupational title;2016;<65;17846;17846
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2016;>=65;14709;14709
507;nimikesuojattu apuhoitaja;hjälpskötare med skyddad yrkesbeteckning;assistant nurse with protected occupational title;2016;<65;19197;19197
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2016;>=65;2337;2337
508;laillistettu laboratoriohoitaja;legitimerad laboratorieskötare;registered medical laboratory technologist;2016;<65;7602;7602
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2016;>=65;1356;1356
509;laillistettu röntgenhoitaja;legitimerad röntgenskötare;registered radiographer;2016;<65;4250;4250
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2016;>=65;1764;1764
600;laillistettu fysioterapeutti;legitimerad fysioterapeut;registered physiotherapist;2016;<65;16027;16027
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2016;>=65;568;568
602;nimikesuojattu kuntohoitaja;konditionsskötare med skyddad yrkesbeteckning;physiotherapy assistant with protected occupational title;2016;<65;5022;5022
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2016;>=65;248;248
603;nimikesuojattu mielenterveyshoitaja;mentalvårdare med skyddad yrkesbeteckning;practical mental nurse with protected occupational title;2016;<65;2524;2524
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2016;>=65;6949;6949
604;nimikesuojattu lastenhoitaja;barnskötare med skyddad yrkesbeteckning;children's nurse with protected occupational title;2016;<65;10410;10410
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2016;>=65;4297;4297
605;nimikesuojattu lähihoitaja (terveydenhuolto);närvårdare (hälsovård) med skyddad yrkesbeteckning;practical nurse (health care);2016;<65;150039;150039
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2016;>=65;1916;1916
607;nimikesuojattu perushoitaja;primärskötare med skyddad yrkesbeteckning;practical nurse with protected occupational title;2016;<65;9758;9758
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2016;>=65;1546;1546
610;nimikesuojattu hammashoitaja;tandskötare med skyddad yrkesbeteckning;dental assistant with protected occupational title;2016;<65;6447;6447
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2016;>=65;133;133
611;laillistettu suuhygienisti;legitimerad munhygienist;registered dental hygienist;2016;<65;2746;2746
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2016;>=65;Alle 5;Alle 5
612;nimikesuojattu jalkaterapeutti;fotterapeut med skyddad yrkesbeteckning;podiatrist with protected occupational title;2016;<65;342;342
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2016;>=65;277;277
613;nimikesuojattu jalkojenhoitaja;fotvårdare med skyddad yrkesbeteckning;chiropodist with protected occupational title;2016;<65;612;612
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2016;>=65;272;272
614;nimikesuojattu lääkintävahtimestari-sairaankuljettaja;medikalvaktmästare-ambulansförare med skyddad yrkesbeteckning;hospital and ambulance attendant with protected occupational title;2016;<65;2551;2551
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2017;>=65;6239;6239
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2017;<65;23302;23302
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2017;>=65;2224;2224
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2017;<65;5314;5314
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2017;>=65;4057;4057
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2017;<65;9924;9924
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2017;>=65;667;667
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2017;<65;2964;2964
007;laillistettu optikko;legitimerad optiker;registered optician;2017;>=65;362;362
007;laillistettu optikko;legitimerad optiker;registered optician;2017;<65;2001;2001
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2017;>=65;306;306
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2017;<65;840;840
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2017;>=65;1694;1694
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2017;<65;6152;6152
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2017;>=65;1878;1878
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2017;<65;5951;5951
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2017;>=65;253;253
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2017;<65;1672;1672
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2017;>=65;89;89
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2017;<65;3467;3467
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2017;>=65;48;48
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2017;<65;592;592
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2017;>=65;38;38
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2017;<65;157;157
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2017;>=65;Alle 5;Alle 5
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2017;<65;31;31
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2017;<65;113;113
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2017;>=65;113;113
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2017;>=65;9;9
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2017;<65;49;49
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2017;>=65;10;10
024;nimikesuojattu sairaalasolubiologi;sjukhuscellbiolog med skyddad yrkesbeteckning;hospital cell biologist with protected occupational title;2017;<65;12;12
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2017;>=65;7077;5177
034;laillistettu erikoislääkäri;legitimerad specialistläkare;registered specialist;2017;<65;16425;13434
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2017;>=65;437;426
035;laillistettu erikoishammaslääkäri;legitimerad specialisttandläkare;specialised dental practitioner;2017;<65;716;712
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2017;>=65;29196;29196
100;laillistettu sairaanhoitaja;legitimerad sjukskötare;registered nurse;2017;<65;106152;106152
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2017;>=65;9;9
201;nimikesuojattu apuvälineteknikko;hjälpmedelstekniker med skyddad yrkesbeteckning;orthopaedic technician with protected occupational title;2017;<65;295;295
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2017;>=65;7;7
220;nimikesuojattu kiropraktikko;kiropraktor med skyddad yrkesbeteckning;chiropractor with protected occupational title;2017;<65;95;95
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2017;>=65;19;19
230;nimikesuojattu naprapaatti;naprapat med skyddad yrkesbeteckning;naprapath with protected occupational title;2017;<65;175;175
240;nimikesuojattu osteopaatti;osteopat med skyddad yrkesbeteckning;osteopath with protected occupational title;2017;>=65;29;29
